Image,	URL
774099be-cad2-4eab-82d2-36d31fd5a262,	https://www.alarabiya.net/aswaq/infographic/2025/06/18/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D8%B1%D8%A7%D9%84%D9%8A-%D9%8A%D8%AB%D8%A8-%D8%AA-%D8%A7%D9%84%D9%81%D8%A7%D8%A6%D8%AF%D8%A9-%D9%84%D9%84%D9%85%D8%B1%D8%A9-%D8%A7%D9%84%D8%B1%D8%A7%D8%A8%D8%B9%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%AA%D9%88%D8%A7%D9%84%D9%8A
d2ae79d0-368b-4359-bc06-10de9f8d5d6e,	https://www.alarabiya.net/aswaq/infographic/2025/06/15/%D8%A7%D9%84%D8%B0%D9%87%D8%A8-%D9%8A%D8%AA%D9%81%D9%88%D9%82-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%8A%D9%88%D8%B1%D9%88-%D9%81%D9%8A-%D8%A7%D8%AD%D8%AA%D9%8A%D8%A7%D8%B7%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D8%A8%D9%86%D9%88%D9%83-%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2%D9%8A%D8%A9
c94140c2-2b67-49a1-957f-0c262d131216_16x9_1200x676,	https://www.alarabiya.net/aswaq/infographic/2025/04/05/130-%D8%B9%D8%A7%D9%85%D8%A7-%D9%85%D9%86-%D8%A7%D9%84%D8%AA%D8%B9%D8%B1%D9%8A%D9%81%D8%A7%D8%AA-%D8%A7%D9%84%D8%AC%D9%85%D8%B1%D9%83%D9%8A%D8%A9-%D9%81%D9%8A-%D8%A3%D9%85%D9%8A%D8%B1%D9%83%D8%A7
49423e06-5596-469e-a451-9603220d1ca4,	https://www.alarabiya.net/aswaq/infographic/2025/03/09/%D9%81%D8%A8%D8%B1%D8%A7%D9%8A%D8%B1-%D8%A7%D9%84%D8%A3%D9%82%D8%B3%D9%89-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%B9%D9%85%D8%A7%D9%84-%D8%A7%D9%84%D8%A3%D9%85%D9%8A%D8%B1%D9%83%D9%8A%D9%8A%D9%86-%D9%85%D9%86%D8%B0-5-%D8%B3%D9%86%D9%88%D8%A7%D8%AA
eabcee77-ae28-4a44-88a2-cfcf0daec124,	https://www.alarabiya.net/aswaq/infographic/2025/03/09/%D9%83%D9%8A%D9%81-%D8%AA%D8%AF%D9%87%D9%88%D9%84-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF-%D8%BA%D8%B2%D8%A9-%D9%88%D8%A7%D9%84%D8%B6%D9%81%D8%A9-%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9
cee625df-edf6-4d41-a3c0-9af93dd7b62d,	https://www.alarabiya.net/aswaq/infographic/2025/02/28/-%D8%B3%D9%86%D8%AA%D9%8A-%D9%85%D9%84%D9%8A%D8%A7%D8%B1%D8%AF%D9%8A%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85
436506e6-8d38-4f91-8b87-5e29a78d997e,	https://www.alarabiya.net/aswaq/infographic/2025/02/17/%D8%B1%D8%AD%D9%84%D8%A9-%D8%B2%D9%8A%D8%A7%D8%AF%D8%A9-%D8%A7%D9%84%D8%AD%D8%AF-%D8%A7%D9%84%D8%A3%D8%AF%D9%86%D9%89-%D9%84%D8%A3%D8%AC%D9%88%D8%B1-%D8%A7%D9%84%D9%82%D8%B7%D8%A7%D8%B9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5-%D8%A8%D9%85%D8%B5%D8%B1-%D9%81%D9%8A-3-%D8%B3%D9%86%D9%88%D8%A7%D8%AA
de3966a5-ec7a-4357-ba5f-c1d7a9b6848f,	https://www.alarabiya.net/aswaq/infographic/2025/02/06/%D8%A3%D9%83%D8%A8%D8%B1-%D8%B4%D8%B1%D9%83%D8%A7%D8%A1-%D8%A3%D9%85%D9%8A%D8%B1%D9%83%D8%A7-%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A%D9%8A%D9%86
3f679a06-de37-4c02-8471-97cdb8ccf22c,	https://www.alarabiya.net/aswaq/infographic/2025/01/30/%D8%AE%D8%B7%D8%B7-%D8%AE%D8%A7%D9%81%D9%8A%D9%8A%D8%B1-%D9%85%D9%8A%D9%84%D9%8A-%D8%A7%D9%84%D8%AA%D9%82%D8%B4%D9%81%D9%8A%D8%A9-%D8%AA%D9%86%D8%AC%D8%AD
66c2d71e-f556-43df-821e-4a43744111d4,	https://www.alarabiya.net/aswaq/infographic/2025/01/30/-%D8%AF%D9%8A%D8%A8-%D8%B3%D9%8A%D9%83-%D9%8A%D8%AF%D9%85%D9%8A-%D8%A7%D9%84%D8%B4%D8%B1%D9%83%D8%A7%D8%AA-%D9%81%D9%8A-%D9%88%D9%88%D9%84-%D8%B3%D8%AA%D8%B1%D9%8A%D8%AA-
