Image,URL
2023_Karnataka_Election_Result_2023.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/2023_Karnataka_Election_Result_2023.svg/500px-2023_Karnataka_Election_Result_2023.svg.png
WhatsApp-Image-2023-12-03-at-10.18.58-AM.jpeg,https://s3.ap-south-2.amazonaws.com/cdn.vvimgs.com/wp-content/uploads/2023/12/WhatsApp-Image-2023-12-03-at-10.18.58-AM.jpeg
prajavani_2023-05_1f4f9c36-7324-42af-8a70-d5cf47a6ac8c_Web_capture_14_5_2023_10346_,https://media.assettype.com/prajavani%2F2023-05%2F1f4f9c36-7324-42af-8a70-d5cf47a6ac8c%2FWeb_capture_14_5_2023_10346_.jpeg?w=1300&auto=format%2Ccompress&fit=max&q=70
prajavani_2023-05_daf0140c-1df2-442c-b590-b41df34fcea7_Web_capture_14_5_2023_102933_,https://media.assettype.com/prajavani%2F2023-05%2Fdaf0140c-1df2-442c-b590-b41df34fcea7%2FWeb_capture_14_5_2023_102933_.jpeg?w=1300&auto=format%2Ccompress&fit=max&q=70
prajavani_2023-05_8363b61d-fb36-472d-9331-2236f932bd4f_Web_capture_14_5_2023_102830_,https://media.assettype.com/prajavani%2F2023-05%2F8363b61d-fb36-472d-9331-2236f932bd4f%2FWeb_capture_14_5_2023_102830_.jpeg?w=1300&auto=format%2Ccompress&fit=max&q=70
21635789__winningcandidates-2,https://imgs.etvbharat.com/etvbharat/prod-images/04-06-2024/21635789__winningcandidates-2.png
prajavani_2023-05_80db97aa-7dd8-4313-b500-d86271059057_Web_capture_14_5_2023_10282_,https://media.assettype.com/prajavani%2F2023-05%2F80db97aa-7dd8-4313-b500-d86271059057%2FWeb_capture_14_5_2023_10282_.jpeg?w=1300&auto=format%2Ccompress&fit=max&q=70
