Image,URL
Screenshot 2026-03-24 163632.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163638.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163644.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163652.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163659.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163708.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163715.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163722.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163726.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163733.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163743.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163800.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163814.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163910.png,	https://www.indiabudget.gov.in/doc/Budget_at_Glance/budget_at_a_glance.pdf
Screenshot 2026-03-24 163915.png,	https://www.indiabudget.gov.in/doc/Budget_at_Glance/budget_at_a_glance.pdf
Screenshot 2026-03-24 163921.png,	https://www.indiabudget.gov.in/doc/Budget_at_Glance/budget_at_a_glance.pdf
Screenshot 2026-03-24 163928.png,	https://www.indiabudget.gov.in/doc/Budget_at_Glance/budget_at_a_glance.pdf
Screenshot 2026-03-24 163934.png,	https://www.indiabudget.gov.in/doc/Budget_at_Glance/budget_at_a_glance.pdf
Screenshot 2026-03-24 163942.png,	https://www.indiabudget.gov.in/doc/Budget_at_Glance/budget_at_a_glance.pdf
Screenshot 2026-03-24 163949.png,	https://www.indiabudget.gov.in/doc/Budget_at_Glance/budget_at_a_glance.pdf
Screenshot 2026-03-24 163954.png,	https://www.indiabudget.gov.in/doc/Budget_at_Glance/budget_at_a_glance.pdf
Screenshot 2026-03-24 164000.png,	https://www.indiabudget.gov.in/doc/Budget_at_Glance/budget_at_a_glance.pdf
Screenshot 2026-03-24 164009.png,	https://www.indiabudget.gov.in/doc/Budget_at_Glance/budget_at_a_glance.pdf
Screenshot 2026-03-24 164023.png,	https://www.indiabudget.gov.in/doc/Budget_at_Glance/budget_at_a_glance.pdf
Screenshot 2026-03-24 164030.png,	https://www.indiabudget.gov.in/doc/Budget_at_Glance/budget_at_a_glance.pdf
Screenshot 2026-03-24 164036.png,	https://www.indiabudget.gov.in/doc/Budget_at_Glance/budget_at_a_glance.pdf
Screenshot 2026-03-24 164041.png,	https://www.indiabudget.gov.in/doc/Budget_at_Glance/budget_at_a_glance.pdf
Screenshot 2026-03-24 164046.png,	https://www.indiabudget.gov.in/doc/Budget_at_Glance/budget_at_a_glance.pdf
Screenshot 2026-03-24 164052.png,	https://www.indiabudget.gov.in/doc/Budget_at_Glance/budget_at_a_glance.pdf
Screenshot 2026-03-24 164057.png,	https://www.indiabudget.gov.in/doc/Budget_at_Glance/budget_at_a_glance.pdf
